dataset,dt_mode,lr,eff_bs,phys_bs,accum,seed,exit_code,wall_sec,output_dir
imm_clustertrace,replace,5e-4,32,32,1,2,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_clustertrace/replace_lr-5e-4_bs-32_accum-1/seed2
imm_clustertrace,replace,5e-4,32,32,1,3,0,40,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_clustertrace/replace_lr-5e-4_bs-32_accum-1/seed3
imm_clustertrace,learned,5e-4,32,32,1,1,0,47,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_clustertrace/learned_lr-5e-4_bs-32_accum-1/seed1
imm_clustertrace,learned,5e-4,32,32,1,2,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_clustertrace/learned_lr-5e-4_bs-32_accum-1/seed2
imm_clustertrace,learned,5e-4,32,32,1,3,0,47,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_clustertrace/learned_lr-5e-4_bs-32_accum-1/seed3
imm_clustertrace,concat,5e-4,32,32,1,1,0,54,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_clustertrace/concat_lr-5e-4_bs-32_accum-1/seed1
imm_clustertrace,concat,5e-4,32,32,1,2,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_clustertrace/concat_lr-5e-4_bs-32_accum-1/seed2
imm_clustertrace,concat,5e-4,32,32,1,3,0,47,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_clustertrace/concat_lr-5e-4_bs-32_accum-1/seed3
imm_studentlife,replace,1e-4,64,16,4,1,0,84,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/replace_lr-1e-4_bs-16_accum-4/seed1
imm_studentlife,replace,1e-4,64,16,4,2,0,81,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/replace_lr-1e-4_bs-16_accum-4/seed2
imm_studentlife,replace,1e-4,64,16,4,3,0,118,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/replace_lr-1e-4_bs-16_accum-4/seed3
imm_studentlife,learned,1e-4,256,32,8,1,0,158,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/learned_lr-1e-4_bs-32_accum-8/seed1
imm_studentlife,learned,1e-4,256,32,8,2,0,227,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/learned_lr-1e-4_bs-32_accum-8/seed2
imm_studentlife,learned,1e-4,256,32,8,3,0,307,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_studentlife/learned_lr-1e-4_bs-32_accum-8/seed3
